row_type,scope,artifact,aggregation,window_s,selected_k,cluster_id,rows,features_total,cluster_size,cluster_frac,silhouette_score,davies_bouldin_score,calinski_harabasz_score,largest_cluster_size,largest_cluster_frac,attack_rate_global,attack_count,attack_rate,attack_lift_vs_global,artifact_count,time_cluster_min,time_cluster_max,status,warnings,best_cluster_attack_rate,best_cluster_attack_lift,method,cut_mode,cut_value,linkage
run,per_dataset,NIST_Data_Leakage_Case,max,60,14,,1219,189,,,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,,,,,,,success,,1.0,5.3700440528634354,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,0,1219,189,38,0.031173092698933553,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,8,0.21052631578947367,1.1305355900765128,,2015-03-22 15:12:00,2015-03-24 21:07:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,1,1219,189,33,0.027071369975389663,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,4,0.12121212121212122,0.6509144306501135,,2015-03-22 15:21:00,2015-03-25 15:25:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,2,1219,189,78,0.06398687448728466,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,11,0.14102564102564102,0.7573139048909974,,2015-03-22 14:55:00,2015-03-25 15:23:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,3,1219,189,43,0.03527481542247744,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,10,0.23255813953488372,1.2488474541542873,,2015-03-22 14:36:00,2015-03-25 15:31:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,4,1219,189,6,0.004922067268252666,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,6,1.0,5.3700440528634354,,2015-03-25 11:09:00,2015-03-25 11:14:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,5,1219,189,21,0.017227235438884332,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,1,0.047619047619047616,0.2557163834696874,,2015-03-22 14:35:00,2015-03-25 15:30:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,6,1219,189,26,0.02132895816242822,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,0,0.0,0.0,,2015-03-22 14:34:00,2015-03-25 15:28:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,7,1219,189,9,0.007383100902378999,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,1,0.1111111111111111,0.5966715614292706,,2015-03-23 18:37:00,2015-03-25 15:29:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,8,1219,189,36,0.029532403609515995,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,2,0.05555555555555555,0.2983357807146353,,2015-03-22 15:09:00,2015-03-25 15:24:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,9,1219,189,150,0.12305168170631665,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,24,0.16,0.8592070484581498,,2015-03-23 04:16:00,2015-04-22 20:44:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,10,1219,189,84,0.06890894175553733,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,27,0.32142857142857145,1.7260855884203903,,2015-03-22 16:53:00,2015-03-25 13:44:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,11,1219,189,217,0.17801476620180476,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,14,0.06451612903225806,0.34645445502344746,,2015-03-23 16:28:00,2015-04-22 20:56:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,12,1219,189,339,0.2780968006562756,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,80,0.2359882005899705,1.2672670331241147,,2015-03-22 14:49:00,2015-04-22 18:05:00,success,,,,agglomerative,k,14,ward
cluster,per_dataset,NIST_Data_Leakage_Case,max,60,14,13,1219,189,139,0.1140278917145201,0.5074998737611386,1.7887745832895132,194.1314295236209,339,0.2780968006562756,0.18621821164889255,39,0.2805755395683453,1.5067030076379424,,2015-03-22 14:50:00,2015-03-25 15:27:00,success,,,,agglomerative,k,14,ward
